id,text,description,source_description
mq_0165,"For you, the day Bison graced your village, was the most important day in your life. But for me, it was Tuesday.",Movie quote from Street Fighter (1994),Street Fighter (1994)
mq_0166,Salvation lies within.,Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0167,Hakuna matata,Movie quote from The Lion King (1994),The Lion King (1994)
mq_0168,Don't ever let anybody tell you they’re better than you.,Movie quote from Forrest Gump (1994),Forrest Gump (1994)
mq_0169,Mama always said life was like a box of chocolates. You never know what you're gonna get.,Movie quote from Forrest Gump (1994),Forrest Gump (1994)
mq_0170,"Is life always this hard, or is it just when you're a kid?",Movie quote from Léon (1994),Léon (1994)
mq_0171,"They may take our lives, but they'll never take our freedom!",Movie quote from Breaveheart (1995),Breaveheart (1995)
mq_0172,"Houston, we have a problem.",Movie quote from Apollo 13 (1995),Apollo 13 (1995)
mq_0173,Hack the planet.,Movie quote from Hackers (1995),Hackers (1995)
mq_0174,What's in the box?!,Movie quote from Seven (1995),Seven (1995)
mq_0175,"They may take our lives, but they'll never take our freedom!",Movie quote from Braveheart (1995),Braveheart (1995)
mq_0176," I used to think that if none of your family or friends knew you were dead, it was like not really being dead. People can invent the best and the worst for you.",Movie quote from Before Sunrise (1995),Before Sunrise (1995)
mq_0177,The greatest trick the devil ever pulled was convincing the world he didn't exist.,Movie quote from The Usual Suspects (1995),The Usual Suspects (1995)
mq_0178,Bye Felicia!,Movie quote from Friday (1995),Friday (1995)
mq_0179,Every man dies; not every man really lives.,Movie quote from Braveheart (1995),Braveheart (1995)
mq_0180,This isn't flying. This is falling with style!,Movie quote from Toy Story (1995),Toy Story (1995)
mq_0181,To infinity and beyond!,Movie quote from Toy Story (1995),Toy Story (1995)
mq_0182,"That'll do, pig. That'll do.",Movie quote from Babe (1995),Babe (1995)
mq_0183,Get on the scale! Get off the scale!,Movie quote from Heavyweights (1995),Heavyweights (1995)
mq_0184,"Every man dies, but not every man really lives.",Movie quote from Braveheart (1995),Braveheart (1995)
mq_0185,You can trouble me for a warm glass of SHUT THE HELL UP!! Now you will go to sleep or I will put you to sleep.,Movie quote from Happy Gilmore (1996),Happy Gilmore (1996)
mq_0186,Show me the money!,Movie quote from Jerry Maguire (1996),Jerry Maguire (1996)
mq_0187,You had me at hello.,Movie quote from Jerry Maguire (1996),Jerry Maguire (1996)
mq_0188,"You little son of a bitch ball! Why you don't you just go HOME? That's your HOME! Are you too good for your HOME? ANSWER ME! SUCK MY WHITE ASS, BALL!",Movie quote from Happy Gilmore (1996),Happy Gilmore (1996)
mq_0189,Some people can’t believe in themselves until someone else believes in them first.,Movie quote from Good Will Hunting (1997),Good Will Hunting (1997)
mq_0190,Ain't no rules says a dog can't play basketball.,Movie quote from Air Bud (1997),Air Bud (1997)
mq_0191,Does anything more dangerous than that lurk just beneath the surface?,Movie quote from Titanic (1997),Titanic (1997)
mq_0192,You make me want to be a better man.,Movie quote from As Good as It Gets (1997),As Good as It Gets (1997)
mq_0193,I'm king of the world!,Movie quote from Titanic (1997),Titanic (1997)
mq_0194,Draw me like one of your French girls,Movie quote from Titanic (1997),Titanic (1997)
mq_0195,Tonight's forecast: a freeze is coming!,Movie quote from Batman & Robin (1997),Batman & Robin (1997)
mq_0196,"People live their lives bound by what they accept as correct and true. That's how they define ""reality"". But what does it mean to be ""correct"" or ""true""? Merely vague concepts... Their ""reality"" may all be a mirage. Can we consider them to simply be living in their own world, shaped by their beliefs?",Movie quote from Naruto (1997),Naruto (1997)
mq_0197,My Mama says that alligators are ornery because they got all them teeth and no toothbrush.,Movie quote from The Waterboy (1998),The Waterboy (1998)
